Payer,Bankruptcy month,FLAG_BAD_DEBT,# POCs,Rent,Average Receivables,Average Overdue,Payment Term Days,Payment Behavior Status,Credit Limit,Std Dev AR,Max Credit Utilization,Avg Credit Utilization,fb_rating
30155840,01-03-2019,0,1,0,936.4366667,238.41,21,GOOD,4600,0.091733564,0.202267391,0.066532065,0
30155843,01-11-2019,0,1,0,0,0,14,EXCELLENT,9000,0,0,0,4.6
30155849,01-07-2019,0,1,0,526.7983333,0,28,EXCELLENT,2500,0,0,0,0
30155851,01-02-2019,0,1,0,435.1333333,107.0933333,28,STRUCTURAL OFFENDER,2500,0.101738,0.203476,0.152607,4.7
30155855,01-10-2019,0,1,0,10952.24833,-133.55,42,EXCELLENT,50000,0.03199476,0.2406128,0.20338955,0
30155858,01-10-2019,0,1,4465.06,15621.31333,-169.7333333,14,EXCELLENT,18400,0.032925296,0.242684783,0.212033967,0
30155862,01-05-2019,0,1,0,253.8783333,0,28,EXCELLENT,3300,0,0,0,0
30155864,01-12-2019,0,1,0,0,0,14,EXCELLENT,2500,0,0,0,4.8
30155867,01-08-2019,0,1,0,21870.63,0,17,EXCELLENT,2500,0,0,0,4.2
30155873,01-08-2019,0,2,0,1691.266667,659.7966667,14,AVERAGE,2500,0.388483524,0.301116,-0.150393,0
30155875,01-12-2019,0,1,0,24597.81167,-123.665,14,EXCELLENT,2500,0,0,0,0
30155876,01-06-2019,0,1,0,13314.995,-57.26666667,14,EXCELLENT,20900,0.014480527,0.060283732,0.045476459,0
30155881,01-03-2019,0,1,0,2205.831667,-12.1,28,EXCELLENT,6200,0.048625532,0.347906452,0.278149597,0
30155882,01-06-2019,0,1,0,186.9366667,0,14,EXCELLENT,3000,0,0,0,0
30155890,01-03-2019,0,1,0,200.1266667,0,14,AVERAGE,2500,0,0,0,0
30155894,01-04-2019,0,1,0,771.1733333,-771.1733333,28,EXCELLENT,2500,0,0,0,0
30155899,01-02-2019,0,1,0,918.86,0,14,STRUCTURAL OFFENDER,2500,0.047916,0,-0.023958,0
30155902,01-11-2019,0,3,0,25232.17,-5816.085,14,EXCELLENT,8000,0.429836875,0,-0.214918438,2.466666667
30155907,01-06-2019,0,1,0,64.59666667,0,28,EXCELLENT,3700,0,0,0,0
30155910,01-12-2019,0,1,0,0,0,14,EXCELLENT,2500,0,0,0,4.7
30155911,01-08-2019,0,1,0,822.7733333,0,28,EXCELLENT,3800,0,0,0,0
30155915,01-05-2019,0,1,0,4328.73,-632.8416667,14,GOOD,2500,0,0,0,0
30155918,01-08-2019,0,1,0,2289.36,0,21,EXCELLENT,4900,0.105145379,0.544571429,0.42597449,0
30155919,01-06-2019,0,1,0,17890.31833,-359.545,14,AVERAGE,5800,1.316229781,2.518613793,0.869859655,0
30155920,01-10-2019,0,1,0,0,-677.87,14,EXCELLENT,3000,0,-0.225956667,-0.225956667,4
30155922,01-08-2019,0,1,0,77.29833333,-386.4916667,28,EXCELLENT,2500,0,-0.185516,-0.185516,0
30155923,01-11-2019,0,1,3709.84,22724.11333,4417.773333,28,STRUCTURAL OFFENDER,0.01,0,637752,474038,0
30155926,01-06-2019,0,1,0,541.6133333,290.41,14,AVERAGE,3300,0,0.264009091,0.264009091,0
30155935,01-01-2019,0,1,0,1384.426667,0,14,AVERAGE,2500,0.008849625,0.317504,0.30984,4.7
30155950,01-06-2019,0,1,0,0,0,28,EXCELLENT,0,0,0,0,0
30155954,01-04-2019,0,1,0,8498.765,0,14,EXCELLENT,44200,0.089611566,0.262421946,0.142834389,0
30155955,01-10-2019,0,1,0,10083.10167,0,14,EXCELLENT,18700,0.178477049,0.464407487,0.219608957,0
30155956,01-03-2019,0,1,0,0,0,14,EXCELLENT,2500,0,0,0,0
30155960,01-07-2019,0,1,0,6235.59,-1425.843333,14,EXCELLENT,7000,0.093366538,0.266432857,0.144996786,0
30155966,01-12-2019,0,1,0,440.08,-18.46166667,14,EXCELLENT,2500,0,0,0,0
30155967,01-07-2019,0,2,22924.68,40462.64667,0,14,EXCELLENT,17300,0.071626049,0.310218497,0.229896965,4.7
30155970,01-06-2019,0,1,0,0,0,28,EXCELLENT,2500,0,0,0,0
30155971,01-08-2019,0,1,0,383.0366667,-49.56166667,14,AVERAGE,2500,0.331014,0.427348,-0.069173,0
30155972,01-11-2019,0,2,0,1586.743333,-6346.973333,28,EXCELLENT,8000,0,0,0,0
30155975,01-05-2019,0,2,0,20251.35,-243.5033333,14,EXCELLENT,9200,0.199781522,0.399563043,0.099890761,0
30155987,01-06-2019,0,1,0,5082.156667,-6.175,21,EXCELLENT,5100,0.131118618,0.897994118,0.68353451,0
30155991,01-08-2019,0,1,0,928.3766667,0,9,EXCELLENT,2700,0,0,0,0
30155992,01-01-2019,0,1,0,0,0,28,EXCELLENT,2500,0,0,0,0
30156001,01-01-2019,0,1,0,3256.433333,-566.61,28,EXCELLENT,5100,0.154718089,0.815227451,0.614641176,0
30156002,01-05-2019,0,1,0,5391.986667,0,14,EXCELLENT,5200,0.172037883,0.441523077,0.345916827,0
30156003,01-08-2019,0,1,0,4049.546667,0,28,EXCELLENT,2500,0,0,0,0
30156011,01-11-2019,0,1,0,87.95333333,0,14,EXCELLENT,9000,0,0,0,0
30156015,01-11-2019,0,1,2941.62,1454.303333,-5,14,EXCELLENT,0.01,0,-500,-500,4.5
30156016,01-12-2019,0,1,9797.7,20965.52333,108.4016667,14,EXCELLENT,12800,0.500439754,1.36100625,0.721730625,4.1
30156018,01-05-2019,0,1,0,1214,1505.776667,14,AVERAGE,0.01,0,0,0,4.6
30156019,01-04-2019,0,1,0,507.9233333,147.6533333,30,EXCELLENT,2500,0.040465614,0.449956,0.425912,4.1
30156023,01-10-2019,0,1,0,0,0,28,EXCELLENT,4000,0,0,0,0
30156031,01-12-2019,0,1,0,39.79333333,0,14,EXCELLENT,0.01,0,0,0,4.7
30156035,01-12-2019,0,3,19340.88,60605.195,1317.63,30,GOOD,0.01,0,1730067,1278385.6,2.733333333
30156037,01-06-2019,0,1,0,416.3416667,-416.3416667,28,EXCELLENT,2500,0,0,0,3.3
30156038,01-07-2019,0,1,0,1944.975,0,28,EXCELLENT,2500,0,0,0,0
30156046,01-04-2019,0,3,0,40769.09,0,30,EXCELLENT,2500,0,0,0,3.066666667
30156051,01-04-2019,0,1,0,6004.86,194.5733333,28,GOOD,11200,0.057518822,0.513866071,0.462139107,0
30156054,01-11-2019,0,1,0,24325.99,-447.8666667,21,EXCELLENT,36300,0.096069765,0.616973278,0.530134091,4.4
30156058,01-11-2019,0,1,0,103.145,0,9,EXCELLENT,9000,0.01364856,0.02364,0.01182,0
30156060,01-09-2019,0,1,0,0,0,28,EXCELLENT,4000,0,0,0,4.5
30156064,01-12-2019,0,1,5327.96,2663.98,0,28,EXCELLENT,2500,0,0,0,0
30156065,01-12-2019,0,1,0,0,0,14,AVERAGE,2500,0,0,0,0
30156067,01-09-2019,0,1,3447.92,3447.92,861.98,28,STRUCTURAL OFFENDER,0.01,0,172396,68958.4,4.2
30156081,01-10-2019,0,1,0,0,0,14,GOOD,0.01,0,0,0,0
30156082,01-05-2019,0,1,0,508.3966667,0,28,EXCELLENT,2500,0.111410444,0.36902,0.217991,0
30156083,01-09-2019,0,23,0,223982.3183,-891452.7833,28,EXCELLENT,30000,0.241073023,-2.632517667,-3.0637622,1.591304348
30156087,01-12-2019,0,1,0,1794.14,304.6133333,14,GOOD,2500,0.067656846,0.123172,0.0086584,0
30156088,01-07-2019,0,3,5378.52,55011.865,-191.43,14,EXCELLENT,48500,0.029842103,0.103748041,0.082381649,2.466666667
30156094,01-12-2019,0,1,6634.64,3317.32,0,14,EXCELLENT,2500,0,0,0,4.4
30156102,01-04-2019,0,1,0,70.16166667,0,14,EXCELLENT,2500,0.075305403,0.168388,0.0336776,0
30156106,01-09-2019,0,1,0,5151.99,0,14,GOOD,10200,0.053208123,0.324120588,0.236634706,4.5
30156108,01-01-2019,0,1,7832.62,8665.028333,334.4266667,14,STRUCTURAL OFFENDER,4300,0.736980472,1.027462791,0.257396512,4.9
30156109,01-05-2019,0,1,0,704.77,-164.3083333,14,EXCELLENT,2500,0.034746,-0.162424,-0.179797,0
30156111,01-04-2019,0,1,0,9943.218333,-102.95,28,EXCELLENT,17700,0.156705167,0.638244068,0.399754011,0
30156112,01-10-2019,0,1,0,0,0,14,EXCELLENT,41500,0,0,0,0
30156113,01-11-2019,0,1,0,83.68833333,0,14,EXCELLENT,7500,0,0,0,0
30156115,01-02-2019,0,2,0,26443.89667,-12269.35,28,AVERAGE,77800,0.211152304,0.108542031,-0.014632166,0
30156117,01-05-2019,0,1,0,13867.995,-6.908333333,30,EXCELLENT,9600,0.337830164,0.675009375,0.37779375,0
