Payer,Bankruptcy month,FLAG_BAD_DEBT,# POCs,Rent,Perc Rent,Average Receivables,Average Overdue,Overdue,1 - 29 Days,30 - 59 Days,60 - 89 Days,Payment Term,Payment Term Days,Payment Behavior Status,Credit Limit,Std Dev AR,Max Credit Utilization,Avg Credit Utilization,Score Interval,Volume Variance,fb_likes,fb_rating,ta_reviews_average,w_avg_rating,FLAG_RENT_0,FLAG_RENT_1,sub_segment_Beer Bar,sub_segment_Beer bar,sub_segment_Bistro,sub_segment_Local Bar,sub_segment_Lounge Bar,sub_segment_Not applicable,sub_segment_Party Club,sub_segment_Party Pub,sub_segment_Quick Dining,sub_segment_Recreational,sub_segment_Restaurant,sub_segment_Sports Bar,sub_segment_Sports Club,poc_image_Mainstream,poc_image_Premium
30155566,2019-01-01,0,1,0.0,0.0,2457.893333333333,804.8849999999999,0.0,0.0,0.0,0.0,028I,28,AVERAGE,9200.0,0.1966257827173913,0.4585141304347826,0.16728233695652173,708.6516799999998,5.998823581836818,58.0,0.0,0.0,3.9,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
30155590,2019-04-01,0,4,0.0,0.0,67198.55333333333,0.0,0.0,0.0,0.0,0.0,014I,14,EXCELLENT,8600.0,0.18160605569767435,0.7432255813953488,0.5407302325581395,673.7138,3.9280497246123565,0.0,0.0,3.875,3.937577606427646,4.0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,2
30155593,2019-11-01,0,1,0.0,0.0,2690.563333333333,0.0,0.0,0.0,0.0,0.0,028I,28,EXCELLENT,11900.0,0.04010959770588236,0.255981512605042,0.205425,708.6516799999998,1.3152252383445857,0.0,4.7,3.0,4.708791208791209,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
30155595,2019-06-01,0,1,0.0,0.0,8132.306666666667,0.0,0.0,0.0,0.0,0.0,014I,14,EXCELLENT,9800.0,0.1912415205102041,0.4564326530612245,0.2774251020408163,708.6516799999998,2.0916585233877854,0.0,0.0,0.0,0.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
30155607,2019-07-01,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,014I,14,EXCELLENT,2500.0,0.0,0.0,0.0,679.15328,1.74642759765481,6.0,0.0,0.0,4.1,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
30155608,2019-12-01,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,014I,14,EXCELLENT,2500.0,0.0,0.0,0.0,679.15328,1.2375397214264943,0.0,0.0,0.0,4.6,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
30155611,2019-01-01,0,1,0.0,0.0,412.64,0.0,0.0,0.0,0.0,0.0,028I,28,GOOD,2500.0,0.0,0.0,0.0,670.062,0.9121593384608543,0.0,0.0,4.5,4.573188405797102,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
30155612,2019-01-01,0,1,4812.76,1.2939311330712522,6227.38,0.0,0.0,0.0,0.0,0.0,010I,10,EXCELLENT,2500.0,0.09925267748,0.3335,0.251291,708.6516799999998,6.987459666870147,0.0,0.0,4.0,4.107317073170732,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
30155614,2019-03-01,0,1,0.0,0.0,14700.42,-147.67,0.0,0.0,0.0,0.0,028I,28,EXCELLENT,14900.0,0.07958881859060403,0.6922657718120806,0.5779793624161074,664.7048,5.191341833775039,0.0,4.7,0.0,4.443169398907104,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
30155615,2019-05-01,0,1,3885.7,4.511726758799359,17531.216666666664,0.0,0.0,0.0,0.0,0.0,014I,14,EXCELLENT,13100.0,0.3463976219847328,1.0682282442748092,0.5599082061068702,721.68168,2.5222417132705806,952.0,4.9,4.5,4.745454545454546,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
30155617,2019-05-01,0,1,0.0,0.0,3921.165,0.0,0.0,0.0,0.0,0.0,028I,28,EXCELLENT,9500.0,0.010334210526315791,0.2463157894736842,0.2411486842105263,689.20208,2.5518452837155174,311.0,4.8,0.0,4.8,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
30155630,2019-03-01,0,2,0.0,0.0,0.0,-452.74,-452.74,0.0,0.0,0.0,030I,30,EXCELLENT,3600.0,0.0,-0.06288055555555555,-0.06288055555555555,697.1844,4.6202591506667945,0.0,0.0,0.0,2.15,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
30155633,2019-11-01,0,6,0.0,0.0,91846.70000000001,-21342.87,0.0,0.0,0.0,0.0,030I,30,GOOD,47578.0,0.08112819124385219,0.222209844886292,0.1688146832569675,721.68168,1.0056307194129788,0.0,0.0,0.0,3.0,6.0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,6,0
30155637,2019-06-01,0,1,0.0,0.0,739.6316666666668,0.0,0.0,0.0,0.0,0.0,009I,9,EXCELLENT,2500.0,0.08813685539999999,0.19708,0.039416,721.68168,0.7842550005348166,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
30155639,2019-06-01,0,1,0.0,0.0,47383.02,0.0,0.0,0.0,0.0,0.0,030I,30,GOOD,28400.0,0.11750126126760566,0.3673271126760563,0.2252566901408451,721.68168,1.859077312582672,0.0,0.0,0.0,4.5,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
30155644,2019-04-01,0,1,0.0,0.0,3328.635,0.0,0.0,0.0,0.0,0.0,028I,28,EXCELLENT,4300.0,0.1813738799534884,0.9011302325581396,0.7048958139534884,697.1844,2.726767147138523,0.0,0.0,0.0,3.8,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
30155648,2019-01-01,0,1,0.0,0.0,2007.956666666667,0.0,0.0,0.0,0.0,0.0,014I,14,EXCELLENT,2500.0,0.422903332,1.18042,0.660983,679.15328,6.325402168774801,1294.0,4.7,4.0,4.447619047619048,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
30155649,2019-11-01,0,1,0.0,0.0,826.4766666666666,-181.1133333333333,-317.89,0.0,-317.89,0.0,014I,14,EXCELLENT,8000.0,0.0,-0.03973625,-0.03973625,0.0,0.7309793121537,2598.0,0.0,3.5,3.749101796407185,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
30155652,2019-08-01,0,1,18162.2,1.3213342363076428,23998.33666666667,-65.54,-366.5,-366.5,0.0,0.0,021I,21,EXCELLENT,19600.0,0.20119087020408166,0.8243862244897959,0.5346581632653061,697.1844,1.6879266143530354,4206.0,4.4,4.0,4.263869463869463,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
30155653,2019-04-01,0,1,0.0,0.0,2233.193333333333,206.07,838.52,838.52,0.0,0.0,014I,14,GOOD,2500.0,0.035409167895999995,0.400056,0.3612672,700.2286799999998,3.7047326539159573,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
30155655,2019-10-01,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,014I,14,EXCELLENT,4000.0,0.0,0.0,0.0,0.0,1.5867370229476006,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
30155657,2019-07-01,0,1,0.0,0.0,1607.418333333333,-367.6333333333334,-180.01,0.0,0.0,0.0,014I,14,EXCELLENT,2500.0,0.0,-0.072004,-0.072004,708.6516799999998,1.8804655904462098,0.0,0.0,0.0,4.3,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
30155662,2019-06-01,0,2,11268.8,1.333191348383738,30046.933333333334,0.0,0.0,0.0,0.0,0.0,021I,21,EXCELLENT,10600.0,0.195256265,0.7105575471698113,0.4245730188679245,708.6516799999998,1.8694640094269326,1646.5,2.1,4.0,4.130856474714996,0.0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1
30155667,2019-06-01,0,1,0.0,0.0,4946.123333333334,-65.43666666666667,-196.31,0.0,-196.31,0.0,014I,14,EXCELLENT,2800.0,0.24378068707142855,0.7293357142857143,0.4896478571428571,664.7048,1.7120142544992658,553.0,4.9,0.0,4.862616822429906,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
30155669,2019-07-01,0,1,8440.7,1.1483028658760528,9692.48,0.0,0.0,0.0,0.0,0.0,028I,28,EXCELLENT,9700.0,0.21476016886597932,0.7480752577319587,0.6316474226804123,721.68168,1.864010807392716,1202.0,4.4,4.0,4.311688311688313,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
30155673,2019-12-01,0,1,0.0,0.0,35.83166666666667,0.0,0.0,0.0,0.0,0.0,014I,14,AVERAGE,2500.0,0.0,0.0,0.0,721.68168,0.49,0.0,0.0,0.0,4.4,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
30155676,2019-05-01,0,4,0.0,0.0,33106.526666666665,0.0,0.0,0.0,0.0,0.0,014I,14,EXCELLENT,4400.0,1.2261036695454546,2.174061363636364,1.0751443181818183,721.68168,2.6250567084311647,0.0,0.0,0.0,3.125,4.0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,3,1
30155684,2019-09-01,0,1,8710.5,1.0527757687082642,9170.203333333333,753.1233333333334,0.0,0.0,0.0,0.0,028I,28,STRUCTURAL OFFENDER,0.01,0.0,455231.00000000006,364184.8,654.656,1.1703766074709123,77.0,3.5,0.0,3.875,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
30155685,2019-01-01,0,1,0.0,0.0,2850.285,0.0,0.0,0.0,0.0,0.0,014I,14,EXCELLENT,2700.0,0.13266758518518518,0.6085703703703704,0.4440009259259259,654.656,3.8316891755241453,77.0,3.5,0.0,3.875,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
30155691,2019-09-01,0,1,0.0,0.0,5971.2683333333325,0.0,0.0,0.0,0.0,0.0,021I,21,EXCELLENT,7600.0,0.8402356468421053,2.0199328947368422,1.1173434210526314,708.6516799999998,2.1741607896423574,0.0,0.0,0.0,4.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
30155693,2019-05-01,0,2,28632.18,0.9393164730500204,53789.35666666666,-20641.786666666663,0.0,0.0,0.0,0.0,014I,14,AVERAGE,2500.0,0.0,-2.728e-16,-2.728e-16,0.0,2.531996535453489,4641.5,4.4,4.0,4.273916536186322,0.0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
30155694,2019-06-01,0,1,32733.36,1.0827160222272731,35440.93333333333,0.0,0.0,0.0,0.0,0.0,049I,49,EXCELLENT,39000.0,0.05835874774358976,0.7067384615384615,0.640165641025641,697.1844,2.3013605937927952,0.0,0.0,4.5,4.0156657963446465,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
30155695,2019-07-01,0,3,11114.32,1.0298844193796834,34339.395000000004,-12.975000000000001,0.0,0.0,0.0,0.0,028I,28,EXCELLENT,6300.0,0.2123709846031746,2.0806111111111107,1.786931746031746,639.1064,1.6278011406827206,386.0,3.3333333333333335,3.3333333333333335,4.666666666666667,0.0,3,0,0,0,1,0,0,2,0,0,0,0,0,0,2,1
30155696,2019-11-01,0,1,0.0,0.0,6762.670000000001,-416.4966666666666,0.0,0.0,0.0,0.0,014I,14,GOOD,11200.0,0.07419033205357144,0.2956696428571429,0.18870022321428573,677.7348,1.1230011863742928,0.0,0.0,0.0,4.4,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
30155698,2019-12-01,0,1,0.0,0.0,86.08166666666666,0.0,0.0,0.0,0.0,0.0,009I,9,STRUCTURAL OFFENDER,2500.0,0.0,0.0,0.0,702.23208,0.7645051194539249,0.0,0.0,0.0,3.9,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
30155704,2019-11-01,0,1,0.0,0.0,1674.448333333333,0.0,0.0,0.0,0.0,0.0,014I,14,AVERAGE,7000.0,0.15782943471428573,0.3472414285714286,0.11448678571428572,721.68168,1.5298162989523818,0.0,0.0,0.0,3.0,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
30155712,2019-07-01,0,1,0.0,0.0,1884.025,0.0,0.0,0.0,0.0,0.0,060I,60,EXCELLENT,2500.0,0.0,0.0,0.0,0.0,0.5584224192495352,0.0,4.4,0.0,4.155172413793103,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
30155713,2019-04-01,0,1,0.0,0.0,1225.615,0.0,0.0,0.0,0.0,0.0,014I,14,EXCELLENT,2900.0,0.10275401420689656,0.3896137931034483,0.27624,721.68168,4.7200478040035865,0.0,0.0,0.0,3.7,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
30155714,2019-05-01,0,2,259.62,0.4999999999999999,259.61999999999995,-170.49666666666667,-250.32,3.1,-256.52,3.1,028I,28,GOOD,2500.0,0.0,0.00124,0.00124,648.609,1.866826438223112,0.0,0.0,0.0,2.05,0.0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1
30155722,2019-11-01,0,1,12055.06,0.6455737258877184,7782.4299999999985,0.0,0.0,0.0,0.0,0.0,014I,14,EXCELLENT,11800.0,0.017996878635593218,0.6196771186440677,0.5950383474576272,670.062,1.0774655304060874,0.0,0.0,4.0,4.0,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
30155724,2019-12-01,0,1,0.0,0.0,2363.13,0.0,0.0,0.0,0.0,0.0,014I,14,EXCELLENT,3500.0,0.15322859382857146,0.5731771428571428,0.3511622857142857,708.6516799999998,1.5564981087730898,0.0,0.0,0.0,3.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
30155729,2019-09-01,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,014I,14,EXCELLENT,4000.0,0.0,0.0,0.0,0.0,8.268864856689103,0.0,0.0,0.0,0.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
30155731,2019-08-01,0,1,0.0,0.0,2503.768333333333,0.0,0.0,0.0,0.0,0.0,028I,28,EXCELLENT,2500.0,0.0,0.0,0.0,0.0,2.00035321411465,0.0,0.0,3.0,4.281999999999999,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
30155734,2019-09-01,0,1,1999.68,1.7494199071851497,3498.28,0.0,0.0,0.0,0.0,0.0,014I,14,GOOD,4200.0,0.16958497652380952,0.3652857142857143,0.16886761904761896,721.68168,1.4855162975594394,0.0,0.0,0.0,4.6,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
30155838,2019-10-01,0,1,0.0,0.0,1854.823333333333,0.0,0.0,0.0,0.0,0.0,014I,14,EXCELLENT,4000.0,0.0,0.0,0.0,679.15328,1.4762151078251815,147.0,4.9,0.0,4.051428571428572,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
30155840,2019-03-01,0,1,0.0,0.0,936.4366666666666,238.41,-388.4,-388.4,0.0,0.0,021I,21,GOOD,4600.0,0.09173356367391304,0.20226739130434784,0.0665320652173913,679.15328,0.9110878338827445,0.0,0.0,0.0,4.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
30155843,2019-11-01,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,014I,14,EXCELLENT,9000.0,0.0,0.0,0.0,721.68168,1.0972298614593428,1494.0,4.6,3.5,4.275401069518717,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
30155849,2019-07-01,0,1,0.0,0.0,526.7983333333333,0.0,0.0,0.0,0.0,0.0,028I,28,EXCELLENT,2500.0,0.0,0.0,0.0,0.0,2.8956432808345265,0.0,0.0,4.0,4.1786206896551725,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
30155851,2019-02-01,0,1,0.0,0.0,435.13333333333327,107.09333333333332,0.0,0.0,0.0,0.0,028I,28,STRUCTURAL OFFENDER,2500.0,0.101738,0.203476,0.152607,721.68168,1.4546263840204754,927.0,4.7,4.5,4.469718309859156,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
30155855,2019-10-01,0,1,0.0,0.0,10952.248333333333,-133.54999999999998,0.0,0.0,0.0,0.0,042I,42,EXCELLENT,50000.0,0.03199476046,0.24061279999999996,0.20338955000000006,679.15328,1.3721567787534805,0.0,0.0,4.0,3.8433898305084746,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
30155858,2019-10-01,0,1,4465.06,3.4985673951376546,15621.313333333335,-169.73333333333338,0.0,0.0,0.0,0.0,014I,14,EXCELLENT,18400.0,0.03292529592934783,0.24268478260869564,0.2120339673913044,601.9159999999998,1.205724019736569,0.0,0.0,0.0,4.6,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
30155862,2019-05-01,0,1,0.0,0.0,253.87833333333333,0.0,0.0,0.0,0.0,0.0,028I,28,EXCELLENT,3300.0,0.0,0.0,0.0,708.6516799999998,1.7024336993514413,0.0,0.0,0.0,5.0,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
30155864,2019-12-01,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,014I,14,EXCELLENT,2500.0,0.0,0.0,0.0,654.656,0.40050392471846213,781.0,4.8,0.0,4.476923076923077,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
30155867,2019-08-01,0,1,0.0,0.0,21870.63,0.0,0.0,0.0,0.0,0.0,017I,17,EXCELLENT,2500.0,0.0,0.0,0.0,0.0,1.3862964335371921,1745.0,4.2,3.5,3.956903765690377,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
30155873,2019-08-01,0,2,0.0,0.0,1691.2666666666667,659.7966666666667,-3007.86,-3007.86,0.0,0.0,014I,14,AVERAGE,2500.0,0.3884835236,0.301116,-0.150393,721.68168,1.763505710252791,0.0,0.0,0.0,0.0,2.0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0
30155875,2019-12-01,0,1,0.0,0.0,24597.811666666665,-123.665,0.0,0.0,0.0,0.0,014I,14,EXCELLENT,2500.0,0.0,0.0,0.0,708.6516799999998,0.4460657883526574,0.0,0.0,0.0,4.2,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
30155876,2019-06-01,0,1,0.0,0.0,13314.995,-57.26666666666665,832.77,832.77,0.0,0.0,014I,14,EXCELLENT,20900.0,0.014480527047846891,0.06028373205741627,0.045476459330143534,708.6516799999998,1.4540597405970581,0.0,0.0,0.0,4.1,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
